"file_name","start_date","end_date","salary_start","salary_end","classcode","req","notes","duties","selection","experience_length","education_length","application_location"
"FIRE ASSISTANT CHIEF ","2018-01-12","2018-01-25","175141.0","206148.0","2166","1. Five years of full-time paid experience at the level of Fire Battalion Chief in the Los Angeles Fire Department as of December 5, 2014; or  2. Two years of full-time paid experience at the level of Fire Battalion Chief in the Los Angeles Fire Department with 25 years of service as of December 5, 2014; or  3. An Associate's Degree from an accredited college or university, or possession of a California State Fire Training (CSFT) Chief Fire Officer Certificate or CSFT Chief Officer certificate; and  4. Two years of full-time paid experience as a Fire Battalion Chief in the Los Angeles Fire Department by September 3, 2018.  Under the policy of rounding experience to the nearest full month, continuous service beginning on or before September 17, 2016 meets the requirement.  Candidates cannot be appointed until the full experience requirement has been met.    Completion of the LAFD Leadership Academy can be substituted for 3 months of the required experience.",,,"[Accomplishments, Interview]","Five",,"Online"
"TREE SURGEON ","2016-08-19",,"47898.0","70052.0","3114","1. One year of full-time paid experience with the City of Los Angeles as a Tree Surgeon Assistant or in a class at that level performing tree trimming or treatment work; or  2. One year of full-time paid experience as a tree surgeon, which includes climbing trees using spurs, climbers, ropes and safety belts and using power saws, aerial lifts, power winches, booms or similar equipment.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Tree Surgeon climbs, prunes, trims, treats, sprays, plants, fertilizes, transplants and removes trees along City streets and highways, in City parks, over or on private property, and on public grounds to eliminate hazardous conditions; prevent interference with traffic, traffic signals and high and low voltage conductors and equipment; and to preserve and maintain the trees.",,"One",,"Online"
"ENVIRONMENTAL SPECIALIST ","2016-01-29","2016-02-11","60281.0","85796.0","7310",,"1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.",,"[Essay, Test, Interview]","one","four","Online"
"REAL ESTATE OFFICER ","2018-05-11","2018-05-24","70490.0","103084.0","1960","1. One year of full-time paid experience as a Real Estate Associate with the City of Los Angeles; or  2. Three years of full-time paid experience as a Real Estate Trainee with the City of Los Angeles; or  3. Graduation from an accredited four year college or university; and two years of full-time paid experience in one or more of the following areas:  a)  	negotiating for the lease, rental, acquisition, or sale of commercial, residential and/or industrial real property rights;  b)  	appraising the market value of real property including land and improvements and good will when applicable;  c)  	managing commercial or industrial real property;  d) providing relocation assistance to persons or businesses.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  3. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","A Real Estate Officer negotiates for the lease, acquisition, rental, or sale of real property rights; makes valuation appraisals of real property to be acquired, sold or leased by the City; selects or assists in the selection of appropriate sites or routes for public projects; appraises damages including loss of goodwill and special benefits to private and public property resulting from proposed public improvements or public utility installations; manages City-owned real property; and coordinates property management issues for leased facilities; conducts relocation studies; and relocates persons and/or businesses.","[Test, Interview]","One","four","Online"
"DIRECTOR OF PORT CONSTRUCTION AND MAINTENANCE ","2016-03-04","2016-03-17","108576.0","154512.0","3123",,"1. Candidates from the eligible list are normally appointed only to vacancies in the lower pay grade positions.    2. The current salary range is subject to change.  You may confirm the starting salary with the department before accepting a job offer.",,"[Essay]","Two","four","Online"
"ELECTRICAL MECHANIC		 ","2017-01-20","2017-02-06","69655.0","99514.0","3841","1. Six months of full-time paid experience performing electrical work on equipment and circuits in the maintenance or construction of electrical systems; or    2. Six months, within the last two years, of full-time paid experience as an exempt Construction Electrical Mechanic or Construction Electrical Helper with the City of Los Angeles Department of Water and Power performing electrical work on equipment and circuits in the maintenance or construction of electrical systems; or  3. Completion of at least eight months in the Utility Pre-Craft Trainee training program sponsored by the Los Angeles Department of Water and Power, assisting in the performance of electrical work on high and low voltage equipment and circuits in the maintenance or construction of electrical systems; or  4. Six months of full-time experience performing electrical work on equipment and circuits in the maintenance or construction of electrical systems while in the United States Armed Forces; or  5. Certificate of completion of the Electrical Construction & Maintenance (ECM) program at Los Angeles Trade Technical College; or   6. Certificate of completion of the Hayden Course sponsored by the Department of Water and Power; or  7. Certificate of completion of an electrical lineworker program from an accredited college.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.   3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","An Electrical Mechanic performs skilled mechanical and electrical work in the installation and maintenance of high and low voltage electrical circuits and related equipment at electrical stations and plants such as electrical substations; receiving, distributing, and customer stations; steam generating stations; water pumping and chlorinating stations; converter stations; hydro-electric plants; high voltage switching stations; and similar facilities and buildings; and performs other related duties.    Electrical Mechanics may work at heights of up to 280 feet, near hazardous materials, and in confined spaces.","[Test, Test]",,,"Online"
"PROPERTY MANAGER ","2016-09-09","2016-09-22","95088.0","135282.0","1964","1. Two years of full-time paid experience in a class at the level of Senior Real Estate Officer with the City of Los Angeles performing duties in the appraisal, acquisition, sale, development (which may include pre-development and/or redevelopment duties), or management of commercial, industrial or watershed property; or managing tenant relationships, leasing activities and property management/maintenance, or developing and oversight of concessions; or  2. Four years of full-time paid experience in a class at the level of Real Estate Officer with the City of Los Angeles performing duties in the appraisal, acquisition, sale, leasing, development (which may include pre-development and/or redevelopment duties), or management of commercial, industrial or watershed property; or managing tenant relationships, leasing activities and property management/maintenance, or developing and oversight of concessions; or  3. Five years of full-time paid experience performing duties in the appraisal, acquisition, sale, development (which may include pre-development and/or redevelopment duties), or management of commercial, industrial, or watershed property or managing tenant relationships, leasing activities and property management/maintenance, or developing and oversight of concessions. Two of the required five years of experience must be in a supervisory capacity managing a staff engaged in related activities.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Property Manager plans and directs, or assists in planning and directing a comprehensive program of real property acquisition, sale, leasing, development (which may include pre-development and redevelopment), appraisal, and property management in a department.","[Questionnaire]","Two",,"Online"
"PRINCIPAL LIBRARIAN ","2017-03-24","2017-05-29","83938.0","119413.0","6155","1. Two years of full-time paid professional experience as a Senior Librarian with the City of Los Angeles; or  2. A master's degree in Library Science or Library and Information Science from a school accredited by the American Library Association and two years of full-time paid professional librarian experience at the level of Senior Librarian with the City of Los Angeles, directly supervising a group of professional library employees providing public service, technical services, or a staff specializing in adult, young adult, or children's library work.","1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list normally are appointed to vacancies in the lower pay grade positions.","A Principal Librarian plans, organizes, directs, and supervises the work of library personnel at regional and neighborhood branch libraries, a Central Library department, or system-wide level, including Engagement and Learning, Emerging Technologies and Collections, or in a specialized library administrative function; ensures strategic goals and objectives are accomplished; represents and advocates for the library at community events and among diverse constituencies; may represent the Library Department and speak before elected officials, potential donors, and other public and private organizations; may interact with community based organizations and support groups, other city departments, vendors and contractors; plans, implements and reviews budgetary expenditures; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","Two",,"Online"
"ELECTRICAL REPAIR SUPERVISOR ","2017-09-22","2017-10-05","115570.0","122022.0","3855","Four years of full-time paid experience as a journey-level electrical repairer.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","An Electrical Repair Supervisor assigns, reviews and evaluates the work of a group of Electrical Repairers, helpers, and trainees engaged in a variety of skilled electrical rewinding, repairing, rebuilding, assembling, troubleshooting, maintenance and rigging work in a shop and in the field; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","Four",,"Online"
"PARKING METER TECHNICIAN SUPERVISOR ","2017-10-06","2017-10-19","53390.0","75982.0","3757","Two years of full-time paid experience as a Parking Meter Technician with the City of Los Angeles.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Parking Meter Technician Supervisor assigns, reviews, and evaluates the work of Parking Meter Technicians engaged in patrolling designated areas daily to inspect, adjust, and repair electronic parking meters and other parking control devices; directs the maintenance, repair, and installation of electronic parking meters throughout the City; performs major repairs on electronic parking meters in a shop or in the field; helps develop strategies for maintaining routes and meter repair in the shop and fields; inputs and reviews computer data relative to parking meter activity; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.    The regular work shift includes Saturdays.","[Essay, Interview]","Two",,"Online"
